	fecha	contaminante	medicion
432	2015-01-04 00:00:00	O3_x	16.0
433	2015-01-04 00:00:00	TMP_x	8.3
434	2015-01-04 00:00:00	O3_y.1	22.0
435	2015-01-04 00:00:00	TMP_2_y	11.3
436	2015-01-04 00:00:00	O3_y	22.0
437	2015-01-04 00:00:00	O3	10.0
438	2015-01-04 00:00:00	O3_y.3	22.0
439	2015-01-04 00:00:00	O3_y.2	22.0
440	2015-01-04 00:00:00	RH_2_x	64.5
441	2015-01-04 03:00:00	TMP_2_y	12.2
442	2015-01-04 03:00:00	RH_2_x	73.2
443	2015-01-04 03:00:00	O3_y.2	4.0
444	2015-01-04 03:00:00	O3_y.3	4.0
445	2015-01-04 03:00:00	O3_x	2.2
446	2015-01-04 03:00:00	O3	1.0
447	2015-01-04 03:00:00	O3_y.1	4.0
448	2015-01-04 03:00:00	O3_y	4.0
449	2015-01-04 03:00:00	TMP_x	9.9
450	2015-01-04 04:00:00	O3_y.3	8.0
451	2015-01-04 04:00:00	O3_x	3.2
452	2015-01-04 04:00:00	O3	1.0
453	2015-01-04 04:00:00	O3_y	8.0
454	2015-01-04 04:00:00	RH_2_x	73.2
455	2015-01-04 04:00:00	O3_y.1	8.0
456	2015-01-04 04:00:00	O3_y.2	8.0
457	2015-01-04 04:00:00	TMP_x	9.72
458	2015-01-04 04:00:00	TMP_2_y	12.1
459	2015-01-04 05:00:00	O3_y.3	4.0
460	2015-01-04 05:00:00	O3	1.0
461	2015-01-04 05:00:00	O3_y.1	4.0
462	2015-01-04 05:00:00	TMP_x	8.98
463	2015-01-04 05:00:00	RH_2_x	76.0
464	2015-01-04 05:00:00	O3_x	1.8
465	2015-01-04 05:00:00	O3_y	4.0
466	2015-01-04 05:00:00	TMP_2_y	10.7
467	2015-01-04 05:00:00	O3_y.2	4.0
468	2015-01-04 06:00:00	TMP_x	8.6
469	2015-01-04 06:00:00	RH_2_x	77.0
470	2015-01-04 06:00:00	TMP_2_y	10.4
471	2015-01-04 06:00:00	O3_y	3.0
472	2015-01-04 06:00:00	O3	1.0
473	2015-01-04 06:00:00	O3_x	1.8
474	2015-01-04 06:00:00	O3_y.2	3.0
475	2015-01-04 06:00:00	O3_y.3	3.0
476	2015-01-04 06:00:00	O3_y.1	3.0
477	2015-01-04 07:00:00	O3_y.2	2.0
478	2015-01-04 07:00:00	O3_x	1.6
479	2015-01-04 07:00:00	TMP_x	8.52
480	2015-01-04 07:00:00	O3_y.3	2.0
481	2015-01-04 07:00:00	RH_2_x	76.6
482	2015-01-04 07:00:00	O3_y	2.0
483	2015-01-04 07:00:00	TMP_2_y	10.7
484	2015-01-04 07:00:00	O3	1.0
485	2015-01-04 07:00:00	O3_y.1	2.0
486	2015-01-04 08:00:00	O3_y.3	3.0
487	2015-01-04 08:00:00	RH_2_x	75.2
488	2015-01-04 08:00:00	TMP_2_y	10.6
489	2015-01-04 08:00:00	O3_y	3.0
490	2015-01-04 08:00:00	O3_y.2	3.0
491	2015-01-04 08:00:00	O3_x	2.0
492	2015-01-04 08:00:00	O3_y.1	3.0
493	2015-01-04 08:00:00	O3	1.0
494	2015-01-04 08:00:00	TMP_x	8.48
495	2015-01-04 09:00:00	O3_y	6.0
496	2015-01-04 09:00:00	TMP_x	9.320000000000002
497	2015-01-04 09:00:00	O3	2.0
498	2015-01-04 09:00:00	O3_y.1	6.0
499	2015-01-04 09:00:00	O3_y.3	6.0
500	2015-01-04 09:00:00	O3_y.2	6.0
501	2015-01-04 09:00:00	TMP_2_y	11.8
502	2015-01-04 09:00:00	RH_2_x	71.4
503	2015-01-04 09:00:00	O3_x	3.8
504	2015-01-04 10:00:00	O3_y.3	10.0
505	2015-01-04 10:00:00	RH_2_x	64.2
506	2015-01-04 10:00:00	O3	4.0
507	2015-01-04 10:00:00	TMP_x	11.320000000000002
508	2015-01-04 10:00:00	O3_y.2	10.0
509	2015-01-04 10:00:00	TMP_2_y	14.2
510	2015-01-04 10:00:00	O3_y	10.0
511	2015-01-04 10:00:00	O3_y.1	10.0
512	2015-01-04 10:00:00	O3_x	6.8
513	2015-01-04 11:00:00	O3	8.0
514	2015-01-04 11:00:00	RH_2_x	56.6
515	2015-01-04 11:00:00	O3_y.2	20.0
516	2015-01-04 11:00:00	O3_y	20.0
517	2015-01-04 11:00:00	O3_y.3	20.0
518	2015-01-04 11:00:00	O3_y.1	20.0
519	2015-01-04 11:00:00	TMP_2_y	17.6
520	2015-01-04 11:00:00	TMP_x	13.54
521	2015-01-04 11:00:00	O3_x	14.0
522	2015-01-04 12:00:00	TMP_x	16.080000000000002
523	2015-01-04 12:00:00	O3	21.0
524	2015-01-04 12:00:00	O3_y.1	33.0
525	2015-01-04 12:00:00	TMP_2_y	19.7
526	2015-01-04 12:00:00	O3_y.3	33.0
527	2015-01-04 12:00:00	O3_y	33.0
528	2015-01-04 12:00:00	O3_y.2	33.0
529	2015-01-04 12:00:00	O3_x	26.6
530	2015-01-04 12:00:00	RH_2_x	48.8
531	2015-01-04 13:00:00	O3_x	38.4
532	2015-01-04 13:00:00	O3_y.2	43.0
533	2015-01-04 13:00:00	TMP_x	18.0
534	2015-01-04 13:00:00	O3_y.1	43.0
535	2015-01-04 13:00:00	O3_y	43.0
536	2015-01-04 13:00:00	O3	33.0
537	2015-01-04 13:00:00	RH_2_x	42.8
