,contaminante,valor,horas
1007,PM10mean,0.33576056756465905,57
1008,PM10mean,0.3438579610963774,58
1009,PM10mean,0.3558844976104812,59
1010,PM10mean,0.3871009710792755,60
1011,PM10mean,0.3288947156617699,61
1012,PM10mean,0.34117756595579196,62
1013,PM10mean,0.35046010511020337,63
1014,PM10mean,0.3461052994835214,64
1015,PM10mean,0.3319357246199816,65
1016,PM10mean,0.3418805446199138,66
1017,PM10mean,0.3137432528443589,67
1018,PM10mean,0.321315250660986,68
1019,PM10mean,0.32922560805186946,69
1020,PM10mean,0.33620064176707887,70
1021,PM10mean,0.2998767638574882,71
1022,PM10mean,0.33625092778378673,72
1023,PM25mean,0.5124657603386816,1
1024,PM25mean,0.5549611833636952,2
1025,PM25mean,0.5842146175648109,3
1026,PM25mean,0.5694265669782469,4
1027,PM25mean,0.6012960595527783,5
1028,PM25mean,0.5927886350835199,6
1029,PM25mean,0.5624916057206718,7
1030,PM25mean,0.5833405747762626,8
1031,PM25mean,0.5251053857998444,9
1032,PM25mean,0.587913921475007,10
1033,PM25mean,0.5153803940086411,11
1034,PM25mean,0.5977252225987099,12
1035,PM25mean,0.5013307313580847,13
1036,PM25mean,0.5589116256976798,14
1037,PM25mean,0.5483670487779,15
1038,PM25mean,0.5400512697792978,16
1039,PM25mean,0.49313172414936035,17
1040,PM25mean,0.5530411197953919,18
1041,PM25mean,0.487742163600122,19
1042,PM25mean,0.5372022421721326,20
1043,PM25mean,0.5305922523694826,21
1044,PM25mean,0.48540492478356334,22
1045,PM25mean,0.46603785488089355,23
1046,PM25mean,0.5523955621149959,24
1047,PM25mean,0.4903982680228511,25
1048,PM25mean,0.46575747563883535,26
1049,PM25mean,0.4766455766585888,27
1050,PM25mean,0.5028750226454471,28
1051,PM25mean,0.4529386939644141,29
1052,PM25mean,0.5154197535865849,30
1053,PM25mean,0.4300190435741088,31
1054,PM25mean,0.4771118575419858,32
1055,PM25mean,0.44662525012267906,33
1056,PM25mean,0.437978641916752,34
1057,PM25mean,0.48571195205626416,35
1058,PM25mean,0.4573912272608247,36
1059,PM25mean,0.4168869380139954,37
1060,PM25mean,0.429286455513734,38
1061,PM25mean,0.4240551181988488,39
1062,PM25mean,0.4587037273087715,40
1063,PM25mean,0.399163669211003,41
1064,PM25mean,0.4537221907095288,42
1065,PM25mean,0.3960226365194361,43
1066,PM25mean,0.40305583309089793,44
1067,PM25mean,0.4230778476864862,45
1068,PM25mean,0.39317893762396566,46
1069,PM25mean,0.3835210590669311,47
1070,PM25mean,0.4232135778510017,48
1071,PM25mean,0.3884555726991196,49
1072,PM25mean,0.38742118940643216,50
1073,PM25mean,0.37410359783676583,51
1074,PM25mean,0.37343823603483856,52
1075,PM25mean,0.36946715537095454,53
1076,PM25mean,0.38457767551258915,54
1077,PM25mean,0.35927164192187316,55
1078,PM25mean,0.3795531956104768,56
1079,PM25mean,0.345937229492323,57
1080,PM25mean,0.3444360341995543,58
1081,PM25mean,0.35132927702458183,59
1082,PM25mean,0.3652357951425938,60
1083,PM25mean,0.32978628237528307,61
1084,PM25mean,0.3362338147239193,62
1085,PM25mean,0.33830547730444455,63
1086,PM25mean,0.3354174067527393,64
1087,PM25mean,0.32406044464184514,65
1088,PM25mean,0.3295473712992018,66
1089,PM25mean,0.3129892769685916,67
1090,PM25mean,0.31307652390928786,68
1091,PM25mean,0.3157288961372143,69
1092,PM25mean,0.31971235963649924,70
1093,PM25mean,0.29333400904517354,71
1094,PM25mean,0.316229375309394,72
